date,obs_fraction
2020-01-21,0.156006
2020-01-22,0.169678
2020-01-23,0.176514
2020-01-24,0.172852
2020-01-27,0.174805
2020-01-28,0.161377
2020-01-29,0.177246
2020-01-30,0.181396
2020-01-31,0.183594
2020-02-03,0.181152
2020-02-04,0.166260
2020-02-05,0.174072
2020-02-06,0.175049
2020-02-07,0.175049
2020-02-10,0.180176
2020-02-11,0.165771
2020-02-12,0.166260
2020-02-13,0.176025
2020-02-14,0.174316
2020-02-18,0.169922
2020-02-19,0.167480
2020-02-20,0.157471
2020-02-21,0.165771
2020-02-24,0.171143
2020-02-25,0.169189
2020-02-26,0.177002
2020-02-27,0.186279
2020-02-28,0.192871
2020-03-02,0.189697
2020-03-03,0.194824
2020-03-04,0.187744
2020-03-05,0.197021
2020-03-06,0.203857
2020-03-09,0.214600
2020-03-10,0.198486
2020-03-11,0.210449
2020-03-12,0.213623
2020-03-13,0.221191
2020-03-16,0.219482
2020-03-17,0.224854
2020-03-18,0.219727
2020-03-19,0.238281
2020-03-20,0.233643
2020-03-23,0.229980
2020-03-24,0.233643
2020-03-25,0.226074
2020-03-26,0.233398
2020-03-27,0.240479
2020-03-30,0.236572
2020-03-31,0.228516
2020-04-01,0.238525
2020-04-02,0.245850
2020-04-03,0.232422
2020-04-06,0.229004
2020-04-07,0.229248
2020-04-08,0.229736
2020-04-09,0.236084
2020-04-13,0.224121
2020-04-14,0.219727
2020-04-15,0.221191
2020-04-16,0.218506
2020-04-17,0.215088
2020-04-20,0.215332
2020-04-21,0.228516
2020-04-22,0.229004
2020-04-23,0.230957
2020-04-24,0.235596
2020-04-27,0.230957
2020-04-28,0.220215
2020-04-29,0.219727
2020-04-30,0.226807
2020-05-01,0.236816
2020-05-04,0.222168
2020-05-05,0.226562
2020-05-06,0.222900
2020-05-07,0.222656
2020-05-08,0.226807
2020-05-11,0.226807
2020-05-12,0.206055
2020-05-13,0.212402
2020-05-14,0.218750
2020-05-15,0.219238
2020-05-18,0.202881
2020-05-19,0.208740
2020-05-20,0.205322
2020-05-21,0.206299
2020-05-22,0.205566
2020-05-26,0.197266
2020-05-27,0.200684
2020-05-28,0.208252
2020-05-29,0.209961
2020-06-01,0.197266
2020-06-02,0.198975
2020-06-03,0.194824
2020-06-04,0.203369
2020-06-05,0.203369
2020-06-08,0.199219
2020-06-09,0.191895
2020-06-10,0.192871
2020-06-11,0.210938
2020-06-12,0.216309
2020-06-15,0.203369
2020-06-16,0.195557
2020-06-17,0.199951
2020-06-18,0.208008
2020-06-19,0.205322
2020-06-22,0.204590
2020-06-24,0.205322
2020-06-25,0.213135
2020-06-26,0.205322
2020-06-29,0.217041
2020-06-30,0.201660
2020-07-01,0.210693
2020-07-02,0.214844
2020-07-06,0.206787
2020-07-07,0.210938
2020-07-08,0.212646
2020-07-09,0.217773
2020-07-10,0.217285
